timestamp,tmp2mdiff
1490774400,2.0
1490778000,0.4
1490781600,-0.5
1490785200,-1.1
1490788800,-1.6
1490792400,-1.7
1490796000,-2.1
1490799600,-2.6
1490803200,-4.2
1490806800,-2.2
1490810400,1.5
1490814000,2.8
1490817600,3.7
1490821200,3.1
1490824800,3.7
1490828400,4.4
1490832000,5.4
1490835600,5.6
1490839200,5.5
1490842800,5.1
1490846400,5.2
1490850000,6.8
1490853600,6.8
1490857200,2.8
1490860800,-0.7
1490864400,-1.4
1490868000,-1.7
1490871600,-1.7
1490875200,-0.7
1490878800,-1.5
1490882400,-1.7
1490886000,-2.0
1490889600,-1.7
1490893200,-1.6
1490896800,-0.6
1490900400,2.5
1490904000,3.4
1490907600,3.8
1490911200,3.7
1490914800,3.8
1490918400,3.3
1490922000,3.2
1490925600,3.5
1490929200,4.0
1490932800,5.3
1490940000,4.3
1490943600,2.6
1490947200,1.7
1490986800,0.9
1490990400,1.0
1490994000,1.1
1490997600,1.6
1491001200,2.0
1491004800,2.1
1491008400,2.6
1491012000,1.5
1491015600,1.3
1491019200,2.4
1491022800,4.6
1491026400,3.7
1491030000,1.0
1491033600,0.7
1491037200,0.3
1491040800,-0.4
1491044400,-0.4
1491048000,-1.6
1491051600,-2.2
1491073200,2.4
1491076800,-1.7
1491080400,-0.8
1491084000,-0.4
1491087600,2.6
1491091200,3.7
1491094800,3.9
1491098400,5.0
1491102000,5.6
1491148800,-1.6
1491152400,-2.3
1491156000,0.6
1491159600,2.6
1491163200,3.2
1491166800,3.8
1491170400,3.7
1491174000,4.3
1491177600,3.0
1491181200,5.2
1491184800,6.8
1491188400,5.1
1491192000,6.9
1491195600,6.8
1491199200,6.3
1491278400,-1.6
1491282000,0.6
1491285600,1.0
1491289200,1.7
1491292800,1.5
1491296400,1.6
1491300000,2.6
1491303600,2.4
1491307200,-2.1
1491314400,-4.9
1491318000,-5.5
1491321600,-4.1
1491325200,-1.9
1491328800,0.5
1491332400,0.4
1491336000,-2.5
