timestamp,tmp2m,weathertype
1490774400,286.5,vedro
1490778000,290.0,vedro
1490781600,292.1,vedro
1490785200,293.6,vedro
1490788800,294.9,vedro
1490792400,295.3,vedro
1490796000,295.8,pretežno vedro
1490799600,296.1,pretežno vedro
1490803200,295.9,vedro
1490806800,293.8,vedro
1490810400,289.0,vedro
1490814000,287.1,pretežno vedro
1490817600,285.4,vedro
1490821200,285.4,umjereno oblačno
1490824800,284.3,NA
1490828400,283.1,NA
1490832000,281.6,vedro
1490835600,281.0,NA
1490839200,280.4,NA
1490842800,279.8,vedro
1490846400,279.0,vedro
1490850000,279.3,pretežno vedro
1490853600,281.6,umjereno oblačno
1490857200,286.5,umjereno oblačno
1490860800,290.8,pretežno vedro
1490864400,292.3,pretežno vedro
1490868000,293.3,umjereno oblačno
1490871600,293.8,pretežno oblačno
1490875200,293.3,pretežno oblačno
1490878800,294.3,pretežno oblačno
1490882400,294.3,umjereno oblačno
1490886000,294.3,umjereno oblačno
1490889600,293.3,umjereno oblačno
1490893200,292.3,umjereno oblačno
1490896800,290.1,umjereno oblačno
1490900400,286.4,pretežno vedro
1490904000,284.8,vedro
1490907600,284.1,vedro
1490911200,283.0,NA
1490914800,282.4,NA
1490918400,282.0,vedro
1490922000,281.0,NA
1490925600,280.5,NA
1490929200,279.8,vedro
1490932800,279.5,vedro
1490940000,282.0,vedro
1490943600,285.1,vedro
1490947200,287.6,vedro
1490986800,287.3,vedro
1490990400,286.6,vedro
1490994000,285.9,vedro
1490997600,284.8,NA
1491001200,283.9,NA
1491004800,283.1,vedro
1491008400,282.2,NA
1491012000,281.6,NA
1491015600,280.8,vedro
1491019200,280.1,vedro
1491022800,279.5,vedro
1491026400,281.9,vedro
1491030000,286.4,vedro
1491033600,288.8,vedro
1491037200,291.1,vedro
1491040800,293.6,vedro
1491044400,294.6,vedro
1491048000,296.3,vedro
1491051600,297.3,vedro
1491073200,287.5,vedro
1491076800,290.6,vedro
1491080400,289.1,vedro
1491084000,288.4,NA
1491087600,284.9,NA
1491091200,282.5,vedro
1491094800,281.9,NA
1491098400,280.8,NA
1491102000,280.4,vedro
1491148800,295.8,vedro
1491152400,294.8,vedro
1491156000,290.6,vedro
1491159600,287.8,vedro
1491163200,286.8,vedro
1491166800,285.4,vedro
1491170400,284.6,NA
1491174000,284.2,NA
1491177600,283.9,vedro
1491181200,281.8,NA
1491184800,280.2,NA
1491188400,281.4,vedro
1491192000,281.0,vedro
1491195600,280.3,vedro
1491199200,283.5,vedro
1491278400,287.8,pretežno vedro
1491282000,287.2,umjereno oblačno
1491285600,288.2,pretežno oblačno
1491289200,288.9,umjereno oblačno
1491292800,290.3,umjereno oblačno
1491296400,290.9,umjereno oblačno
1491300000,290.4,pretežno oblačno
1491303600,291.4,pretežno oblačno
1491307200,291.5,pretežno oblačno
1491314400,291.5,potpuno oblačno
1491318000,291.8,umjereno oblačno
1491321600,290.9,umjereno oblačno
1491325200,289.0,umjereno oblačno
1491328800,286.9,umjereno oblačno
1491332400,286.5,slaba kiša poslije grmlj.
1491336000,288.8,umjereno oblačno
