timestamp,tmp2m,td2m,u10m,v10m,dswrad,dlwrad,uswrad,ulwrad,h2m,sbcape,mlcape,mucape,sbcin,mlcin,mucin,gust,hcld,mcld,lcld,hgt1000,hgt850,hgt500,hgt0c,hgt0covg,lcl,mslp,pwat,pwatll,td850,h850,h700,sncpc,t1000,t950,t850,t700,t500,u850,v850,u500,v500,ts010,vegpc,mstdiv,prec01,prec06,snow01,snow06,dswrad06,dlwrad06,uswrad06,ulwrad06
1490486400,282.3,276.0,-0.2,-0.5,0.0,271.4,0.0,356.8,64.7,0.0,0.0,0.0,0.0,0.0,0.0,11.4,80.3,0.0,0.0,232.2,1569.0,5721.4,2646.8,2503.4,1045.5,102813.4,14.7,1.4,272.3,66.4,64.2,0.0,282.5,282.3,278.1,270.3,253.2,-3.1,-4.4,2.9,-3.2,283.0,40.1,0.0,0.0,0.0,0.0,0.0,0.0,1968.1,0.0,2587.5
1490490000,281.8,276.1,0.1,-0.6,0.0,273.0,0.0,354.3,67.8,0.0,0.0,0.0,0.0,0.0,0.0,10.5,66.1,17.7,0.0,224.3,1560.2,5711.1,2669.6,2526.2,875.5,102720.4,15.8,1.4,272.7,69.4,67.5,0.0,281.9,281.7,277.9,270.3,253.0,-2.1,-4.0,2.5,-3.0,282.6,40.1,0.0,0.0,0.0,0.0,0.0,0.0,1949.3,0.0,2557.2
1490493600,281.5,276.8,-0.2,-2.0,0.0,275.2,0.0,353.0,72.6,0.0,0.0,0.0,0.0,0.0,0.0,9.1,53.3,19.2,3.1,222.2,1557.6,5707.7,2710.5,2567.1,678.5,102697.2,17.2,1.5,273.2,73.2,64.0,0.0,281.7,280.6,277.6,270.6,252.8,-1.7,-4.0,2.6,-2.4,282.1,40.1,0.0,0.0,0.0,0.0,0.0,0.0,1932.8,0.0,2531.6
1490497200,281.5,277.7,-1.4,-2.6,0.0,276.2,0.0,352.0,76.8,0.0,0.0,0.0,0.0,0.0,0.0,8.4,30.8,23.9,1.7,224.9,1558.6,5709.0,2757.1,2613.8,646.6,102726.7,17.5,1.6,272.9,72.7,58.6,0.0,282.0,280.2,277.4,270.9,252.6,-1.0,-4.0,2.7,-1.5,281.7,40.1,0.0,0.0,0.0,0.0,0.0,0.0,1923.3,0.0,2510.0
1490500800,281.5,276.9,-1.7,-3.1,0.0,275.4,0.0,351.2,73.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,26.0,27.5,1.0,226.2,1558.3,5707.2,2717.8,2574.4,788.2,102743.8,17.4,1.5,273.2,77.0,57.0,0.0,281.9,280.3,276.9,270.9,252.6,-2.2,-4.2,2.8,-1.4,281.6,40.1,0.0,0.0,0.0,0.0,0.0,0.0,1918.6,0.0,2492.4
1490504400,282.8,276.7,-2.5,-2.7,148.7,297.3,23.2,363.6,65.7,0.0,0.0,0.0,0.0,0.0,0.0,8.7,21.6,6.4,6.0,227.2,1557.2,5704.4,2670.7,2527.4,849.8,102750.9,17.4,1.4,273.9,83.7,57.1,0.0,282.1,280.2,276.4,270.9,252.6,-3.2,-4.1,2.9,-0.9,282.0,40.1,0.0,0.0,0.0,0.0,0.0,148.7,1939.9,23.2,2491.5
1490508000,283.7,276.7,-2.7,-2.4,361.5,277.0,57.2,379.3,62.2,0.0,0.0,0.0,0.0,0.0,0.0,8.2,6.1,0.0,13.5,230.9,1558.8,5704.0,2635.2,2491.9,868.9,102792.4,17.3,1.4,274.0,88.5,59.6,0.0,282.5,279.9,275.7,270.7,252.6,-3.9,-4.3,3.1,-0.9,283.4,40.1,0.0,0.0,0.0,0.0,0.0,510.2,1945.6,80.4,2510.3
1490511600,284.3,276.8,-2.9,-2.0,289.7,348.3,46.1,386.0,59.9,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.7,0.0,22.2,233.0,1560.5,5705.4,2576.7,2433.4,927.6,102814.7,17.3,1.4,273.8,87.2,60.8,0.0,283.0,279.8,275.8,270.6,252.4,-3.6,-3.8,3.4,-1.2,284.9,40.1,0.0,0.0,0.0,0.0,0.0,800.0,2022.5,126.5,2539.4
1490515200,285.0,276.8,-2.8,-1.5,394.3,351.1,61.7,397.3,57.1,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,31.3,232.7,1560.5,5705.3,2552.2,2408.8,998.6,102807.9,17.2,1.4,273.6,87.4,63.9,0.0,283.6,279.8,275.5,270.4,252.6,-4.0,-2.4,3.6,-1.7,286.2,40.1,-0.0,0.0,0.0,0.0,0.0,1194.2,2100.6,188.2,2582.4
1490518800,286.1,277.8,-2.3,-0.8,637.3,329.3,101.6,419.6,57.2,1.4,0.0,0.0,-0.7,0.0,0.0,3.8,0.0,0.0,31.9,230.3,1560.4,5705.7,2582.3,2438.9,983.8,102772.5,17.3,1.6,272.8,82.2,66.0,0.0,284.6,280.4,275.5,270.3,252.4,-4.5,-2.2,3.6,-2.3,288.4,40.1,-0.0,0.0,0.0,0.0,0.0,1831.5,2154.7,289.8,2649.1
1490522400,287.1,278.1,-2.0,-0.3,709.3,334.0,112.5,434.5,54.8,8.1,1.5,0.0,-2.2,-0.6,0.0,2.9,0.0,0.0,16.6,221.5,1554.5,5701.5,2600.4,2457.0,1061.6,102660.2,16.7,1.6,271.7,75.9,64.9,0.0,285.6,281.3,275.6,270.3,252.5,-4.2,-1.1,3.2,-2.5,290.6,40.1,-0.0,0.0,0.0,0.0,0.0,2540.8,2212.4,402.3,2731.5
1490526000,287.7,277.9,-1.8,-0.5,764.6,288.4,120.8,442.6,52.0,2.9,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,21.0,215.7,1551.2,5699.8,2614.4,2471.0,1155.8,102586.7,16.3,1.6,272.6,83.7,65.1,0.0,286.3,282.0,275.1,270.4,252.6,-3.4,0.2,3.2,-2.4,292.3,40.1,-0.0,0.0,0.0,0.0,0.0,3305.3,2225.4,523.1,2822.9
1490529600,288.3,278.1,-1.9,-0.5,644.2,310.8,102.1,442.4,50.5,6.5,6.5,0.0,0.0,0.0,0.0,2.3,0.0,0.0,26.4,212.7,1550.9,5700.9,2648.6,2505.3,1215.3,102545.8,16.3,1.6,273.3,88.7,63.5,0.0,287.0,282.6,275.0,270.6,252.8,-2.4,0.2,3.5,-2.4,293.3,40.1,-0.0,0.0,0.0,0.0,0.0,3800.8,2238.8,602.0,2901.6
1490533200,288.5,278.0,-2.1,0.0,551.0,291.5,87.1,437.5,49.6,0.0,0.3,0.0,-0.5,0.0,0.0,2.4,0.0,0.0,12.5,199.8,1539.9,5691.8,2698.6,2555.2,1252.6,102388.3,16.1,1.6,272.9,82.7,61.0,0.0,287.4,283.0,275.6,270.8,252.8,-1.2,-0.6,3.4,-2.8,293.6,40.1,-0.0,0.0,0.0,0.0,0.0,3990.3,2253.4,631.9,2959.8
1490536800,288.6,277.9,-2.0,-0.0,383.2,291.4,60.6,427.1,49.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,3.0,191.7,1533.4,5687.4,2754.2,2610.9,1287.0,102290.2,15.7,1.6,272.3,76.1,59.2,0.0,287.6,283.3,276.1,271.0,252.9,-0.9,-0.3,3.2,-3.2,293.3,40.1,-0.0,0.0,0.0,0.0,0.0,4083.8,2196.5,646.3,3000.9
1490540400,288.5,277.9,-1.9,-0.2,190.8,291.1,30.2,412.4,49.3,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,1.4,190.0,1532.1,5686.5,2773.8,2630.5,1299.0,102256.9,15.3,1.6,272.1,74.1,57.7,0.0,287.6,283.4,276.3,271.0,252.9,-0.7,-0.1,2.9,-3.1,292.2,40.1,-0.0,0.0,0.0,0.0,0.0,3880.4,2136.4,614.7,3016.1
1490544000,288.1,277.8,-1.9,-0.5,17.6,290.4,2.8,395.5,50.3,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,189.2,1531.3,5685.5,2767.0,2623.7,1292.0,102249.3,15.4,1.6,271.7,70.4,61.2,0.0,287.4,283.3,276.6,271.0,253.0,-0.6,-0.0,2.8,-2.6,290.5,40.1,-0.0,0.0,0.0,0.0,0.0,3260.7,2097.5,515.9,2991.9
1490547600,287.4,277.9,-1.3,-0.7,0.0,289.6,0.0,386.5,52.7,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,186.6,1528.8,5682.4,2741.8,2598.4,1279.6,102221.1,15.5,1.6,271.3,66.8,63.7,0.0,287.2,283.3,276.9,270.8,253.1,-0.4,0.1,2.5,-2.3,288.8,40.1,0.0,0.0,0.0,0.0,0.0,2551.4,2053.2,403.4,2943.9
1490551200,286.4,277.9,-1.0,-1.0,0.0,287.2,0.0,379.4,56.7,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,186.5,1528.5,5681.5,2711.2,2567.9,1249.3,102225.9,15.4,1.5,271.0,65.2,64.9,0.0,286.6,283.2,277.0,270.7,253.1,-0.2,0.2,2.3,-1.9,287.5,40.1,0.0,0.0,0.0,0.0,0.0,1786.9,2051.9,282.6,2880.7
1490554800,285.6,277.2,-1.1,-1.6,0.0,285.1,0.0,374.1,56.4,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,186.3,1527.7,5680.0,2715.7,2572.4,1269.5,102226.0,15.3,1.5,271.0,65.3,63.8,0.0,286.1,283.2,277.0,270.7,253.2,0.1,0.0,2.4,-1.5,286.4,40.1,0.0,0.0,0.0,0.0,0.0,1142.7,2026.3,180.6,2812.5
1490558400,285.0,276.3,-1.0,-1.7,0.0,283.7,0.0,369.7,55.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,184.4,1525.3,5676.7,2716.6,2573.3,1295.6,102206.2,15.2,1.4,271.1,66.0,63.6,0.0,285.8,283.1,277.0,270.7,253.0,0.1,-0.2,2.4,-1.4,285.5,40.1,0.0,0.0,0.0,0.0,0.0,591.7,2018.4,93.5,2744.8
1490562000,284.6,275.5,-1.1,-1.9,0.0,282.5,0.0,366.2,53.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,183.4,1523.6,5674.1,2713.9,2570.6,1344.4,102195.7,15.3,1.4,271.6,69.3,61.4,0.0,285.6,283.0,276.7,270.7,252.9,0.0,-0.7,2.8,-0.9,284.9,40.1,0.0,0.0,0.0,0.0,0.0,208.4,2009.5,33.0,2683.9
1490565600,284.2,274.7,-1.3,-2.0,0.0,280.9,0.0,363.6,52.2,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,178.3,1517.1,5666.2,2699.2,2555.9,1415.6,102137.4,15.0,1.3,272.3,76.3,56.4,0.0,285.2,282.9,276.1,270.8,252.8,-0.4,-1.0,3.2,-0.8,284.3,40.1,0.0,0.0,0.0,0.0,0.0,17.6,1999.3,2.8,2635.0
1490569200,283.7,274.1,-1.2,-2.2,0.0,277.6,0.0,361.0,51.6,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,175.8,1513.2,5660.8,2677.6,2534.2,1500.6,102109.6,14.3,1.2,272.6,79.6,49.9,0.0,284.6,282.8,275.8,270.7,252.9,-0.3,-1.2,3.7,-0.6,283.8,40.1,0.0,0.0,0.0,0.0,0.0,0.0,1986.5,0.0,2600.6
1490486400,282.2,274.2,-0.9,-2.4,0.0,273.1,0.0,352.6,57.3,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,171.4,1504.6,5652.7,2466.6,2323.2,1394.5,102064.4,14.2,1.2,272.2,77.2,68.9,0.0,283.6,281.4,275.8,269.9,254.2,-0.6,-3.7,1.1,-1.5,282.0,40.9,0.0,0.0,0.0,0.0,0.0,0.0,1948.6,0.0,2525.2
1490490000,281.8,273.2,-0.8,-2.6,0.0,269.8,0.0,350.7,54.7,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,166.3,1497.2,5641.8,2372.3,2229.0,1515.2,102005.8,13.6,1.1,271.3,74.9,69.9,0.0,283.1,281.2,275.3,269.6,254.0,-0.4,-3.2,2.0,-1.9,281.6,40.9,0.0,0.0,0.0,0.0,0.0,0.0,1936.8,0.0,2503.9
1490493600,281.5,272.7,-0.9,-2.5,0.0,268.1,0.0,348.8,53.9,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.7,163.4,1491.9,5632.7,2280.7,2137.3,1437.0,101971.4,13.3,1.1,271.0,78.4,66.5,0.0,282.8,281.0,274.3,269.6,253.9,-0.2,-2.6,2.6,-2.6,281.2,40.9,0.0,0.0,0.0,0.0,0.0,0.0,1924.8,0.0,2486.0
1490497200,281.2,272.3,-0.6,-2.5,0.0,266.0,0.0,346.8,53.6,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,10.2,164.3,1490.4,5627.4,1974.2,1830.8,1532.3,101981.7,12.7,1.0,271.1,82.8,58.1,0.0,282.7,280.7,273.7,269.7,253.5,0.3,-2.7,3.3,-3.6,280.9,40.9,0.0,0.0,0.0,0.0,0.0,0.0,1910.8,0.0,2470.3
1490500800,280.7,272.4,-0.8,-2.7,0.0,264.5,0.0,345.5,55.6,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,30.1,168.9,1492.2,5622.3,1560.8,1417.4,1349.9,102042.2,12.9,1.1,270.7,82.6,61.0,0.0,281.9,280.2,273.3,269.1,253.3,0.6,-2.7,4.5,-3.5,280.6,40.9,0.0,0.0,0.0,0.0,0.0,0.0,1894.7,0.0,2456.6
1490504400,281.7,272.6,-1.7,-2.9,177.3,263.4,28.0,357.9,53.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,53.5,169.1,1491.1,5612.9,1470.5,1327.1,1200.9,102047.9,13.5,1.1,270.9,85.8,66.4,0.0,281.4,279.8,273.0,268.6,253.2,-0.4,-3.9,5.3,-4.7,280.9,40.9,0.0,0.0,0.0,0.0,0.0,177.3,1879.1,28.0,2457.2
